,dataset,model,layer,roi,subject,rsa,cka,pearson_r,pearson_r_nc,explained_variance,ev_nc,enc_rsa,enc_cka
109,TVSD,MODEL_B,visual-blocks-18,V1,monkeyN,0.0337700519049221,0.0059237488591034,0.46290009,0.04688169,0.21092572,0.00215418,0.12148477,0.42442745
110,TVSD,MODEL_B,visual-blocks-18,V4,monkeyF,0.0413857701418598,0.010452895857433,0.41189193,0.0418243,-0.14137819,-0.00180681,0.35201743,0.5781774
111,TVSD,MODEL_B,visual-blocks-18,V4,monkeyN,0.0492522546373739,0.017256832609926,0.49061606,0.05005039,0.18430188,0.00184946,0.37176226,0.49834034
112,TVSD,MODEL_B,visual-blocks-18,IT,monkeyF,0.108595243483062,0.0282916456168766,0.46671297,0.04815522,0.11987953,0.00113672,0.4913447,0.56538839
113,TVSD,MODEL_B,visual-blocks-18,IT,monkeyN,0.0525729062092067,0.0103015857835971,0.51406935,0.05236581,0.08163552,0.00059916,0.30702429,0.69205562
114,TVSD,MODEL_B,visual-blocks-22,V1,monkeyF,0.0472883427485943,0.0393554059566275,0.27508961,0.02816856,-0.906541,-0.01021892,0.15989356,0.43005748
115,TVSD,MODEL_B,visual-blocks-22,V1,monkeyN,0.0348245443219584,0.0158949322592186,0.29849017,0.03018286,-0.57329178,-0.00610969,0.10670603,0.49434409
116,TVSD,MODEL_B,visual-blocks-22,V4,monkeyF,0.06372658659194,0.028981125360365,0.09255963,0.00940039,-56.12103794,-0.61774503,0.02810571,0.07385116
117,TVSD,MODEL_B,visual-blocks-22,V4,monkeyN,0.0725726675940896,0.042370527196814,0.074455,0.00755321,-68.20636594,-0.74048082,0.0118003,0.03133287
118,TVSD,MODEL_B,visual-blocks-22,IT,monkeyF,0.1134186789632676,0.067532132485657,0.06493607,0.00663239,-92.04404559,-1.04061061,0.03565599,0.06036233
119,TVSD,MODEL_B,visual-blocks-22,IT,monkeyN,0.0595103478542282,0.0309974881047773,0.09195281,0.00931869,-65.92929454,-0.73289391,0.03376506,0.08211533
120,EEG2,MODEL_A,layer1-0,occipital_parietal,sub-01,0.0400061751189373,0.0029401691990503,0.11547244,-66.29315863,0.01757839,-1085969.5862856,0.05937526,0.01303897
121,EEG2,MODEL_A,layer1-0,occipital_parietal,sub-02,0.0615892939627592,0.0579341601555545,0.13281567,45.05357556,0.02021215,-209420.40026123,0.1386734,0.0865435
