model,layer,dataset,subject,roi,pearson_r,pearson_r_nc,explained_variance,ev_nc,enc_rsa,enc_cka
MODEL_B,visual-blocks-18,TVSD,monkeyF,IT,nan,nan,0.0,0.0,nan,-0.0
MODEL_B,visual-blocks-18,TVSD,monkeyF,V4,nan,nan,0.0,0.0,nan,-0.0
MODEL_B,visual-blocks-18,TVSD,monkeyF,V1,nan,nan,-0.0,-0.0,nan,0.0
MODEL_B,visual-blocks-18,TVSD,monkeyN,IT,nan,nan,-0.0,-0.0,nan,-0.0
MODEL_B,visual-blocks-18,TVSD,monkeyN,V4,nan,nan,-0.0,-0.0,nan,0.0
MODEL_B,visual-blocks-18,TVSD,monkeyN,V1,nan,nan,-0.0,-0.0,nan,-0.0
MODEL_B,visual-blocks-22,TVSD,monkeyF,IT,nan,nan,0.0,0.0,nan,-0.0
MODEL_B,visual-blocks-22,TVSD,monkeyF,V4,nan,nan,-0.0,-0.0,nan,-0.0
MODEL_B,visual-blocks-22,TVSD,monkeyF,V1,nan,nan,-0.0,-0.0,nan,0.0
MODEL_B,visual-blocks-22,TVSD,monkeyN,IT,nan,nan,-0.0,-0.0,nan,0.0
MODEL_B,visual-blocks-22,TVSD,monkeyN,V4,nan,nan,-0.0,-0.0,nan,-0.0
MODEL_B,visual-blocks-22,TVSD,monkeyN,V1,nan,nan,-0.0,-0.0,nan,-0.0
