model,layer,dataset,subject,roi,pearson_r,pearson_r_nc,explained_variance,ev_nc,rsa,cka
MODEL_A,layer1-0,EEG2,sub-09,occipital_parietal,0.13827677,52.79997371,0.02323765,-330802.89191964,0.07547628,0.04714758
MODEL_A,layer1-0,EEG2,sub-10,occipital_parietal,0.22760628,20.32131389,0.06444992,-326433.0242681,0.0112219,0.13476499
MODEL_A,layer2-0,EEG2,sub-01,occipital_parietal,0.10856909,-71.16581627,-0.00657069,-2405558.0047364,0.0604891,0.00390392
MODEL_A,layer2-0,EEG2,sub-02,occipital_parietal,0.14312594,28.10519854,0.01505939,-379183.58445151,0.1066083,0.07097574
MODEL_A,layer2-0,EEG2,sub-03,occipital_parietal,0.16324351,-2.97004396,0.02659479,-905144.15411139,0.09892804,0.1580113
MODEL_A,layer2-0,EEG2,sub-04,occipital_parietal,0.12763058,-24.96711759,0.00159752,-872792.37897555,0.09326405,0.01726497
MODEL_A,layer2-0,EEG2,sub-05,occipital_parietal,0.19904541,124.7491045,0.0475299,-1307305.56815055,0.17346189,0.21322527
MODEL_A,layer2-0,EEG2,sub-06,occipital_parietal,0.14348887,-22.14122433,0.01547626,-883007.06401468,0.10934956,0.17675357
MODEL_A,layer2-0,EEG2,sub-07,occipital_parietal,0.17100886,24.24360825,0.02852424,-990801.73759978,0.11520679,0.1745396
MODEL_A,layer2-0,EEG2,sub-08,occipital_parietal,0.1606225,9.10876192,0.00606526,-625147.79138784,0.12670219,0.1386643
MODEL_A,layer2-0,EEG2,sub-09,occipital_parietal,0.12888842,76.75785606,-0.00298508,-877050.36498223,0.11535952,0.05730586
MODEL_A,layer2-0,EEG2,sub-10,occipital_parietal,0.23474342,92.96297172,0.05667376,-272991.31776822,0.09270419,0.15150889
MODEL_A,layer3-0,EEG2,sub-01,occipital_parietal,0.16624993,49.00015361,0.0311447,-1213860.39964737,0.07599823,0.00303784
MODEL_A,layer3-0,EEG2,sub-02,occipital_parietal,0.13916072,24.36239566,-0.03889086,-1174247.69511932,0.14005888,0.08669828
MODEL_A,layer3-0,EEG2,sub-03,occipital_parietal,0.21185895,-56.85318643,0.00023762,-2265002.86494747,0.15711174,0.16967844
MODEL_A,layer3-0,EEG2,sub-04,occipital_parietal,0.14386548,-29.98023498,0.00879064,-826405.04799132,0.07116683,0.02580983
MODEL_A,layer3-0,EEG2,sub-05,occipital_parietal,0.22929069,45.50633033,0.00959016,-5164661.50092221,0.2097009,0.24084953
MODEL_A,layer3-0,EEG2,sub-06,occipital_parietal,0.29094423,60.84229306,0.0653971,-1086778.31468625,0.19958087,0.19980519
MODEL_A,layer3-0,EEG2,sub-07,occipital_parietal,0.24769791,142.55080967,0.04510071,-2026450.40104628,0.18714014,0.23529856
MODEL_A,layer3-0,EEG2,sub-08,occipital_parietal,0.21521955,27.48597005,-0.03402475,-1786911.03815177,0.17912191,0.16260882
MODEL_A,layer3-0,EEG2,sub-09,occipital_parietal,0.18915551,86.65296357,-0.00922189,-2095310.0180021,0.16549488,0.08338405
MODEL_A,layer3-0,EEG2,sub-10,occipital_parietal,0.31413514,95.949537,0.08337059,-1152252.29918725,0.16381116,0.1885697
MODEL_A,layer3-5,EEG2,sub-01,occipital_parietal,0.17997516,55.51897038,0.04367623,-629308.08450053,0.05492374,-0.00313269
MODEL_A,layer3-5,EEG2,sub-02,occipital_parietal,0.12960857,17.12033331,0.01655863,-180861.41945569,0.0995948,0.0775696
MODEL_A,layer3-5,EEG2,sub-03,occipital_parietal,0.24769094,-16.10880168,0.04131226,-1758384.53871335,0.09552292,0.14250622
