model,layer,dataset,subject,roi,dim,pearson_r,pearson_r_nc,ev,ev_nc
MODEL_A,layer1-0,TVSD,monkeyF,IT,198,0.60738309,0.06190918,0.36456525,0.00378756
MODEL_A,layer1-0,TVSD,monkeyF,IT,199,0.60672182,0.06181448,0.35864063,0.00372272
MODEL_A,layer1-0,TVSD,monkeyF,IT,200,0.39902245,0.04040355,0.15780318,0.00161793
MODEL_A,layer1-0,TVSD,monkeyF,IT,201,0.55096155,0.05821585,0.30234833,0.00337557
MODEL_A,layer1-0,TVSD,monkeyF,IT,202,0.35403765,0.03798933,0.12094085,0.00139251
MODEL_A,layer1-0,TVSD,monkeyF,IT,203,0.33859207,0.03409401,0.08652726,0.00087732
MODEL_A,layer1-0,TVSD,monkeyF,IT,204,0.6027293,0.06179137,0.35867533,0.00376975
MODEL_A,layer1-0,TVSD,monkeyF,IT,205,0.56507355,0.06406942,0.31054175,0.00399219
MODEL_A,layer1-0,TVSD,monkeyF,IT,206,0.5768345,0.05883183,0.31786062,0.00330643
MODEL_A,layer1-0,TVSD,monkeyF,IT,207,0.41788062,0.04232162,0.17403872,0.00178511
MODEL_A,layer1-0,TVSD,monkeyF,IT,208,0.52938441,0.05571626,0.2667561,0.00295485
MODEL_A,layer1-0,TVSD,monkeyF,IT,209,0.31232564,0.03457543,0.09485754,0.0011625
MODEL_A,layer1-0,TVSD,monkeyF,IT,210,0.17365524,0.01795426,0.02999382,0.00032062
MODEL_A,layer1-0,TVSD,monkeyF,IT,211,0.17254355,0.01739153,0.0223078,0.00022664
MODEL_A,layer1-0,TVSD,monkeyF,IT,212,0.65362082,0.06845769,0.42582742,0.00467118
MODEL_A,layer1-0,TVSD,monkeyF,IT,213,0.76283213,0.07925403,0.56669625,0.00611695
MODEL_A,layer1-0,TVSD,monkeyF,IT,214,0.7936103,0.08092693,0.56465418,0.00587157
MODEL_A,layer1-0,TVSD,monkeyF,IT,215,0.34665024,0.03554197,0.11213136,0.00117876
MODEL_A,layer1-0,TVSD,monkeyF,IT,216,0.27794466,0.02930799,0.07146278,0.00079458
MODEL_A,layer1-0,TVSD,monkeyF,IT,217,-0.00576116,-0.00058401,-0.00020121,-2.07e-06
MODEL_A,layer1-0,TVSD,monkeyF,IT,218,0.08935267,0.00899831,0.0061978,6.286e-05
MODEL_A,layer1-0,TVSD,monkeyF,IT,219,0.61976262,0.06289614,0.37277308,0.00383921
MODEL_A,layer1-0,TVSD,monkeyF,IT,220,0.693585,0.07094898,0.47460458,0.00496621
MODEL_A,layer1-0,TVSD,monkeyF,IT,221,0.79619492,0.08126152,0.58411295,0.00608454
MODEL_A,layer1-0,TVSD,monkeyF,IT,222,0.25806391,0.02841366,0.05935978,0.0007196
MODEL_A,layer1-0,TVSD,monkeyF,IT,223,0.20569534,0.02291482,0.0419149,0.00052018
MODEL_A,layer1-0,TVSD,monkeyF,IT,224,-0.14530368,-0.0146449,-0.00386018,-3.921e-05
MODEL_A,layer1-0,TVSD,monkeyF,IT,225,0.15923576,0.0161427,0.01417913,0.00014572
MODEL_A,layer1-0,TVSD,monkeyF,IT,226,0.04103601,0.00423959,-0.00011851,-1.26e-06
MODEL_A,layer1-0,TVSD,monkeyF,IT,227,0.61996787,0.06406173,0.38425507,0.00410278
MODEL_A,layer1-0,TVSD,monkeyF,IT,228,0.08927427,0.0092858,-0.00135792,-1.469e-05
MODEL_A,layer1-0,TVSD,monkeyF,IT,229,0.02842317,0.00289771,-0.00255197,-2.652e-05
MODEL_A,layer1-0,TVSD,monkeyF,IT,230,0.29773144,0.0337234,0.07606183,0.00097584
MODEL_A,layer1-0,TVSD,monkeyF,IT,231,-0.00893664,-0.00089976,-0.01180406,-0.00011966
MODEL_A,layer1-0,TVSD,monkeyF,IT,232,0.22207468,0.02245528,0.04846363,0.00049551
MODEL_A,layer1-0,TVSD,monkeyF,IT,233,0.58667263,0.05939876,0.33377551,0.00342151
MODEL_A,layer1-0,TVSD,monkeyF,IT,234,0.56741744,0.05818365,0.32108929,0.00337615
MODEL_A,layer1-0,TVSD,monkeyF,IT,235,0.52965484,0.05454021,0.27509861,0.002917
MODEL_A,layer1-0,TVSD,monkeyF,IT,236,0.36995262,0.0385308,0.13564304,0.00147137
MODEL_A,layer1-0,TVSD,monkeyF,IT,237,0.19023354,0.01934399,0.0333712,0.00034506
MODEL_A,layer1-0,TVSD,monkeyF,IT,238,0.3567268,0.03605106,0.11949377,0.00122042
MODEL_A,layer1-0,TVSD,monkeyF,IT,239,0.15404117,0.01551229,0.02282257,0.00023144
MODEL_A,layer1-0,TVSD,monkeyF,IT,240,0.30250266,0.03055761,0.08594004,0.00087695
MODEL_A,layer1-0,TVSD,monkeyN,IT,0,0.13507549,0.01359105,0.01704376,0.00017255
MODEL_A,layer1-0,TVSD,monkeyN,IT,1,0.32355246,0.03371439,0.08480346,0.00092078
MODEL_A,layer1-0,TVSD,monkeyN,IT,2,0.34101849,0.03442988,0.09491004,0.00096745
MODEL_A,layer1-0,TVSD,monkeyN,IT,3,0.40970848,0.04109374,0.16719314,0.00168198
MODEL_A,layer1-0,TVSD,monkeyN,IT,4,0.40425768,0.04085014,0.13729007,0.00140188
MODEL_A,layer1-0,TVSD,monkeyN,IT,5,0.35211606,0.03770288,0.05691688,0.00065256
MODEL_A,layer1-0,TVSD,monkeyN,IT,6,0.2616374,0.02632298,0.04127166,0.00041776
MODEL_A,layer1-0,TVSD,monkeyN,IT,7,0.44598564,0.04482204,0.19310434,0.00195044
MODEL_A,layer1-0,TVSD,monkeyN,IT,8,0.22234297,0.02286043,0.04786336,0.00050597
MODEL_A,layer1-0,TVSD,monkeyN,IT,9,0.4086337,0.04352917,0.12944931,0.0014689
MODEL_A,layer1-0,TVSD,monkeyN,IT,10,0.478906,0.04925958,0.21684992,0.00229425
MODEL_A,layer1-0,TVSD,monkeyN,IT,11,0.36690934,0.0371284,0.12510118,0.00128102
MODEL_A,layer1-0,TVSD,monkeyN,IT,12,0.375839,0.03894608,0.11876454,0.00127529
MODEL_A,layer1-0,TVSD,monkeyN,IT,13,0.28032849,0.02836978,0.0441587,0.00045227
MODEL_A,layer1-0,TVSD,monkeyN,IT,14,0.32409235,0.03412659,0.03431794,0.00038051
MODEL_A,layer1-0,TVSD,monkeyN,IT,15,0.43229444,0.04346578,0.18658334,0.00188629
