dataset,model,layer,roi,subject,rsa,cka
NSD,MODEL_A,layer2-0,V1v,subj07,0.14967799777829768,0.2387374354549609
NSD,MODEL_A,layer2-0,V1v,subj08,0.16698411149614859,0.29256005349531516
NSD,MODEL_A,layer2-0,V2v,subj01,0.15327353470807012,0.2528418285774896
NSD,MODEL_A,layer2-0,V2v,subj02,0.14641635271254733,0.24200855040066524
NSD,MODEL_A,layer2-0,V2v,subj03,0.13365278069591435,0.24031546472925547
NSD,MODEL_A,layer2-0,V2v,subj04,0.1443153323300019,0.2373561547005023
NSD,MODEL_A,layer2-0,V2v,subj05,0.14878838103716613,0.321657884923332
NSD,MODEL_A,layer2-0,V2v,subj06,0.13040342956867165,0.24745492358679805
NSD,MODEL_A,layer2-0,V2v,subj07,0.12999663337049402,0.2101638972272807
NSD,MODEL_A,layer2-0,V2v,subj08,0.1276820988154065,0.24256673607703183
NSD,MODEL_A,layer2-0,V3v,subj01,0.13578580650458874,0.19573228144539612
NSD,MODEL_A,layer2-0,V3v,subj02,0.10357810279750988,0.19889533385241406
NSD,MODEL_A,layer2-0,V3v,subj03,0.0809244387062518,0.13698684802779781
NSD,MODEL_A,layer2-0,V3v,subj04,0.09137790920959436,0.12273584968130982
NSD,MODEL_A,layer2-0,V3v,subj05,0.10268096256953105,0.20634791168048927
NSD,MODEL_A,layer2-0,V3v,subj06,0.09205062245840058,0.15262428340830067
NSD,MODEL_A,layer2-0,V3v,subj07,0.08879603299645802,0.11842016830494548
NSD,MODEL_A,layer2-0,V3v,subj08,0.08136676278224596,0.15437806909816013
NSD,MODEL_A,layer2-0,hV4,subj01,0.13296493009854274,0.1761350425682861
NSD,MODEL_A,layer2-0,hV4,subj02,0.09033311009925811,0.16814563889260883
NSD,MODEL_A,layer2-0,hV4,subj03,0.08087404069597628,0.12270397208140199
NSD,MODEL_A,layer2-0,hV4,subj04,0.06888483621389126,0.08362330760952554
NSD,MODEL_A,layer2-0,hV4,subj05,0.09930597105466159,0.15256458503926612
NSD,MODEL_A,layer2-0,hV4,subj06,0.07631676690408172,0.0815315177598321
NSD,MODEL_A,layer2-0,hV4,subj07,0.07930034330459436,0.10527558786468047
NSD,MODEL_A,layer2-0,hV4,subj08,0.09708639241943813,0.1634946855098883
NSD,MODEL_A,layer2-0,FFA-1,subj01,0.06941025224273523,0.05944476381092776
NSD,MODEL_A,layer2-0,FFA-1,subj02,0.06390603746186684,0.06705289934669802
NSD,MODEL_A,layer2-0,FFA-1,subj03,0.061198119249902184,0.053886505153515764
NSD,MODEL_A,layer2-0,FFA-1,subj04,0.053784453377219404,0.04625912921346354
NSD,MODEL_A,layer2-0,FFA-1,subj05,0.07401310889690454,0.061462485446509105
NSD,MODEL_A,layer2-0,FFA-1,subj06,0.04275146379006262,0.027230605381099317
NSD,MODEL_A,layer2-0,FFA-1,subj07,0.048891864762836836,0.03405263446228727
NSD,MODEL_A,layer2-0,FFA-1,subj08,0.06522162286307327,0.06172427472785094
NSD,MODEL_A,layer2-0,VWFA-1,subj01,0.05970802613453081,0.0521296711998613
NSD,MODEL_A,layer2-0,VWFA-1,subj02,0.054989420177662916,0.05502839026197447
NSD,MODEL_A,layer2-0,VWFA-1,subj03,0.05790514120310274,0.04133624736842664
NSD,MODEL_A,layer2-0,VWFA-1,subj04,0.047319103419265866,0.02398614815599268
NSD,MODEL_A,layer2-0,VWFA-1,subj05,0.0798998244616867,0.062103680790816226
NSD,MODEL_A,layer2-0,VWFA-1,subj06,0.05102386682005508,0.029176610604390515
NSD,MODEL_A,layer2-0,VWFA-1,subj07,0.08460344713990225,0.07723278761211756
NSD,MODEL_A,layer2-0,VWFA-1,subj08,0.0378742432384844,0.024533394649281323
NSD,MODEL_A,layer2-0,PPA,subj01,0.11224529480127562,0.06283565649620121
NSD,MODEL_A,layer2-0,PPA,subj02,0.10718191785913982,0.06890853392129483
NSD,MODEL_A,layer2-0,PPA,subj03,0.08826349754511333,0.056601997532021046
NSD,MODEL_A,layer2-0,PPA,subj04,0.05985347734074278,0.053808106028025236
