dataset,model,layer,roi,subject,rsa,cka
NSD,MODEL_A,layer3-0,PPA,subj07,0.15013338996012054,0.10264318049353334
NSD,MODEL_A,layer3-0,PPA,subj08,0.12475778965532651,0.10304948713829017
NSD,MODEL_A,layer3-0,OPA,subj01,0.17878261217625202,0.10699181967448916
NSD,MODEL_A,layer3-0,OPA,subj02,0.17447630667802888,0.11481265089640838
NSD,MODEL_A,layer3-0,OPA,subj03,0.1081178216027741,0.074681206657811
NSD,MODEL_A,layer3-0,OPA,subj04,0.1047453977150141,0.07708883361865643
NSD,MODEL_A,layer3-0,OPA,subj05,0.15689053511287254,0.12902845582267192
NSD,MODEL_A,layer3-0,OPA,subj06,0.11543373161003934,0.0755928227485426
NSD,MODEL_A,layer3-0,OPA,subj07,0.15109768204648175,0.09929125173092652
NSD,MODEL_A,layer3-0,OPA,subj08,0.09919654643625138,0.059808650449018445
NSD,MODEL_A,layer3-0,EBA,subj01,0.1126824776576536,0.09092311866429639
NSD,MODEL_A,layer3-0,EBA,subj02,0.11492915150480255,0.10765401327016634
NSD,MODEL_A,layer3-0,EBA,subj03,0.11543403968226473,0.09114998064664682
NSD,MODEL_A,layer3-0,EBA,subj04,0.08875379416632471,0.07225688710212624
NSD,MODEL_A,layer3-0,EBA,subj05,0.12294989575634938,0.10936172959788215
NSD,MODEL_A,layer3-0,EBA,subj06,0.09283487980515433,0.06437578906150175
NSD,MODEL_A,layer3-0,EBA,subj07,0.10696986946481053,0.08453211904374261
NSD,MODEL_A,layer3-0,EBA,subj08,0.08051725718278196,0.0625432502999236
NSD,MODEL_A,layer3-5,V1v,subj01,0.22396381578468447,0.29404350188725514
NSD,MODEL_A,layer3-5,V1v,subj02,0.1994570910438634,0.28921867511164
NSD,MODEL_A,layer3-5,V1v,subj03,0.159645209941709,0.21571094917292255
NSD,MODEL_A,layer3-5,V1v,subj04,0.2057242933316892,0.2513068502408609
NSD,MODEL_A,layer3-5,V1v,subj05,0.1551209775210375,0.27215373224227374
NSD,MODEL_A,layer3-5,V1v,subj06,0.1825813094596315,0.23834078925660007
NSD,MODEL_A,layer3-5,V1v,subj07,0.17367362499547764,0.21261905193810918
NSD,MODEL_A,layer3-5,V1v,subj08,0.16717272538130792,0.2293805069555372
NSD,MODEL_A,layer3-5,V2v,subj01,0.19750014408710245,0.2702972045560442
NSD,MODEL_A,layer3-5,V2v,subj02,0.18968537119402,0.2767839561973795
NSD,MODEL_A,layer3-5,V2v,subj03,0.15889377310490355,0.22056701180180915
NSD,MODEL_A,layer3-5,V2v,subj04,0.18281464835472044,0.24674676096350756
NSD,MODEL_A,layer3-5,V2v,subj05,0.16097789270146995,0.28134187467041527
NSD,MODEL_A,layer3-5,V2v,subj06,0.1557089737593838,0.23412532707475414
NSD,MODEL_A,layer3-5,V2v,subj07,0.16531966397271514,0.21040773542542746
NSD,MODEL_A,layer3-5,V2v,subj08,0.15636650748442507,0.22002543568216612
NSD,MODEL_A,layer3-5,V3v,subj01,0.19414319520880285,0.23072192915712336
NSD,MODEL_A,layer3-5,V3v,subj02,0.15836821039923318,0.24445685682073762
NSD,MODEL_A,layer3-5,V3v,subj03,0.11120963665611575,0.13216519510143382
NSD,MODEL_A,layer3-5,V3v,subj04,0.12974726895184377,0.1512488360419362
NSD,MODEL_A,layer3-5,V3v,subj05,0.12847901681418927,0.20644767388253898
