model,layer,dataset,subject,roi,pearson_r,pearson_r_nc,explained_variance,ev_nc,enc_rsa,enc_cka,rsa,cka
MODEL_B,visual-blocks-6,TVSD,monkeyN,V4,0.52915105,0.05403069,0.22363027,0.00232731,0.30747408,0.33962578,,
MODEL_B,visual-blocks-6,TVSD,monkeyN,V1,0.69037291,0.06995696,0.45991836,0.00472067,0.38275142,0.70928496,,
MODEL_B,visual-blocks-10,TVSD,monkeyF,IT,0.2622954,0.02706338,-0.10734648,-0.00130806,0.20846121,0.15769515,,
MODEL_B,visual-blocks-10,TVSD,monkeyF,V4,0.34395448,0.0349579,0.00111564,-0.00012554,0.16310881,0.37974767,,
MODEL_B,visual-blocks-10,TVSD,monkeyF,V1,0.4828294,0.04953583,0.1318305,0.00126512,0.31856833,0.5379398,,
MODEL_B,visual-blocks-10,TVSD,monkeyN,IT,0.32788958,0.03334739,-0.03736926,-0.00055689,0.08629419,0.24928631,,
MODEL_B,visual-blocks-10,TVSD,monkeyN,V4,0.29980934,0.03055471,-0.04014235,-0.00051386,0.13770123,0.19178281,,
MODEL_B,visual-blocks-10,TVSD,monkeyN,V1,0.50975796,0.05160621,0.23191013,0.00234528,0.22501636,0.54351915,,
MODEL_B,visual-blocks-14,TVSD,monkeyF,IT,0.44366961,0.04583679,0.13575892,0.00135756,0.40730462,0.47389205,,
MODEL_B,visual-blocks-14,TVSD,monkeyF,V4,0.45863184,0.04661005,0.16081575,0.00156962,0.29696773,0.47159633,,
MODEL_B,visual-blocks-14,TVSD,monkeyF,V1,0.30726106,0.03149846,-0.03503361,-0.0004794,0.12699411,0.27482692,,
MODEL_B,visual-blocks-14,TVSD,monkeyN,IT,0.55122928,0.05623237,0.26419915,0.00266803,0.37706011,0.60996133,,
MODEL_B,visual-blocks-14,TVSD,monkeyN,V4,0.46810983,0.04779338,0.17204345,0.00173635,0.2992062,0.40432023,,
MODEL_B,visual-blocks-14,TVSD,monkeyN,V1,0.40819224,0.04134884,0.14580596,0.00148037,0.07659525,0.39886877,,
MODEL_B,visual-blocks-18,TVSD,monkeyF,IT,0.46671297,0.04815522,0.11987953,0.00113672,0.4913447,0.56538839,,
MODEL_B,visual-blocks-18,TVSD,monkeyF,V4,0.41189193,0.0418243,-0.14137819,-0.00180681,0.35201743,0.5781774,,
MODEL_B,visual-blocks-18,TVSD,monkeyF,V1,0.40389575,0.04145927,0.12061264,0.00121893,0.21072636,0.36034348,,
MODEL_B,visual-blocks-18,TVSD,monkeyN,IT,0.51406935,0.05236581,0.08163552,0.00059916,0.30702429,0.69205562,,
MODEL_B,visual-blocks-18,TVSD,monkeyN,V4,0.49061606,0.05005039,0.18430188,0.00184946,0.37176226,0.49834034,,
MODEL_B,visual-blocks-18,TVSD,monkeyN,V1,0.46290009,0.04688169,0.21092572,0.00215418,0.12148477,0.42442745,,
